word	sentiment	lexicon
abandon	negative	nrc
abandoned	negative	nrc
abandonment	negative	nrc
abba	positive	nrc
abduction	negative	nrc
aberrant	negative	nrc
aberration	negative	nrc
abhor	negative	nrc
abhorrent	negative	nrc
ability	positive	nrc
abject	negative	nrc
abnormal	negative	nrc
abolish	negative	nrc
abolition	negative	nrc
abominable	negative	nrc
abomination	negative	nrc
abort	negative	nrc
abortion	negative	nrc
abortive	negative	nrc
abovementioned	positive	nrc
abrasion	negative	nrc
abrogate	negative	nrc
abscess	negative	nrc
absence	negative	nrc
absent	negative	nrc
absentee	negative	nrc
absenteeism	negative	nrc
absolute	positive	nrc
absolution	positive	nrc
absorbed	positive	nrc
absurd	negative	nrc
absurdity	negative	nrc
abundance	negative	nrc
abundance	positive	nrc
abundant	positive	nrc
abuse	negative	nrc
abysmal	negative	nrc
abyss	negative	nrc
academic	positive	nrc
academy	positive	nrc
acceptable	positive	nrc
acceptance	positive	nrc
accessible	positive	nrc
accident	negative	nrc
accidental	negative	nrc
accolade	positive	nrc
accommodation	positive	nrc
accompaniment	positive	nrc
accomplish	positive	nrc
accomplished	positive	nrc
accomplishment	positive	nrc
accord	positive	nrc
accountability	positive	nrc
accountable	positive	nrc
accredited	positive	nrc
accueil	positive	nrc
accurate	positive	nrc
accursed	negative	nrc
accusation	negative	nrc
accusative	negative	nrc
accused	negative	nrc
accuser	negative	nrc
accusing	negative	nrc
ace	positive	nrc
ache	negative	nrc
achieve	positive	nrc
achievement	positive	nrc
aching	negative	nrc
acid	negative	nrc
acknowledgment	positive	nrc
acquire	positive	nrc
acquiring	positive	nrc
acrobat	positive	nrc
action	positive	nrc
actionable	negative	nrc
actual	positive	nrc
acuity	positive	nrc
acumen	positive	nrc
adapt	positive	nrc
adaptable	positive	nrc
adder	negative	nrc
addiction	negative	nrc
addresses	positive	nrc
adept	positive	nrc
adequacy	positive	nrc
adipose	negative	nrc
adjudicate	negative	nrc
adjunct	positive	nrc
admirable	positive	nrc
admiral	positive	nrc
admiration	positive	nrc
admire	positive	nrc
admirer	positive	nrc
admissible	positive	nrc
admonition	negative	nrc
adorable	positive	nrc
adoration	positive	nrc
adore	positive	nrc
adrift	negative	nrc
adulterated	negative	nrc
adultery	negative	nrc
advance	positive	nrc
advanced	positive	nrc
advancement	positive	nrc
advantage	positive	nrc
advantageous	positive	nrc
advent	positive	nrc
adventure	positive	nrc
adventurous	positive	nrc
adversary	negative	nrc
adverse	negative	nrc
adversity	negative	nrc
advisable	positive	nrc
advise	positive	nrc
adviser	positive	nrc
advocacy	positive	nrc
aesthetic	positive	nrc
aesthetics	positive	nrc
affable	positive	nrc
affection	positive	nrc
affiliated	positive	nrc
affirm	positive	nrc
affirmation	positive	nrc
affirmative	positive	nrc
affirmatively	positive	nrc
afflict	negative	nrc
afflicted	negative	nrc
affliction	negative	nrc
affluence	positive	nrc
affluent	positive	nrc
afford	positive	nrc
affront	negative	nrc
afraid	negative	nrc
aftermath	negative	nrc
aftertaste	negative	nrc
aga	positive	nrc
aggravated	negative	nrc
aggravating	negative	nrc
aggravation	negative	nrc
aggression	negative	nrc
aggressive	negative	nrc
aggressor	negative	nrc
aghast	negative	nrc
agile	positive	nrc
agility	positive	nrc
agitated	negative	nrc
agitation	negative	nrc
agonizing	negative	nrc
agony	negative	nrc
agree	positive	nrc
agreeable	positive	nrc
agreed	positive	nrc
agreeing	positive	nrc
agreement	positive	nrc
agriculture	positive	nrc
aground	negative	nrc
ahead	positive	nrc
aid	positive	nrc
aiding	positive	nrc
ail	negative	nrc
ailing	negative	nrc
aimless	negative	nrc
airs	negative	nrc
alabaster	positive	nrc
alarm	negative	nrc
alarming	negative	nrc
alcoholism	negative	nrc
alertness	positive	nrc
alien	negative	nrc
alienate	negative	nrc
alienated	negative	nrc
alienation	negative	nrc
alimentation	positive	nrc
alimony	negative	nrc
alive	positive	nrc
allay	positive	nrc
allegation	negative	nrc
allege	negative	nrc
allegiance	positive	nrc
allegro	positive	nrc
alleviate	positive	nrc
alleviation	positive	nrc
allied	positive	nrc
allowable	positive	nrc
allure	positive	nrc
alluring	positive	nrc
ally	positive	nrc
almighty	positive	nrc
aloha	positive	nrc
aloof	negative	nrc
